iso_time,pid,cpu_percent,rss_kb,vsz_kb,threads,open_fds
2026-08-13T08:06:03+07:00,52227,0.5,93400,1352348,11,27
2026-08-13T08:06:05+07:00,52227,5.0,95352,1353076,11,61
2026-08-13T08:06:07+07:00,52227,9.5,99700,1372936,11,95
2026-08-13T08:06:09+07:00,52227,14.0,107748,1374220,11,129
2026-08-13T08:06:11+07:00,52227,18.0,115068,1374220,11,162
2026-08-13T08:06:13+07:00,52227,23.0,117484,1376432,11,197
2026-08-13T08:06:15+07:00,52227,25.0,118232,1377200,11,230
2026-08-13T08:06:17+07:00,52227,25.5,118356,1377344,11,264
2026-08-13T08:06:19+07:00,52227,34.0,119696,1377752,11,297
2026-08-13T08:06:21+07:00,52227,39.5,121772,1378148,11,331
2026-08-13T08:06:23+07:00,52227,37.0,121688,1377772,11,365
2026-08-13T08:06:25+07:00,52227,39.5,121228,1377772,11,400
2026-08-13T08:06:27+07:00,52227,38.5,121240,1377772,11,432
2026-08-13T08:06:29+07:00,52227,44.0,121312,1377772,11,468
2026-08-13T08:06:31+07:00,52227,49.5,121796,1377924,11,501
2026-08-13T08:06:33+07:00,52227,53.5,120968,1377924,11,534
2026-08-13T08:06:35+07:00,52227,57.5,121088,1377924,11,567
2026-08-13T08:06:37+07:00,52227,54.0,121284,1378188,11,602
2026-08-13T08:06:39+07:00,52227,60.5,121380,1378444,11,635
2026-08-13T08:06:41+07:00,52227,60.0,121564,1378956,11,670
2026-08-13T08:06:43+07:00,52227,61.5,122212,1379096,11,703
2026-08-13T08:06:45+07:00,52227,64.5,122608,1379244,11,735
2026-08-13T08:06:47+07:00,52227,65.5,122736,1379392,11,769
2026-08-13T08:06:49+07:00,52227,71.0,122772,1379392,11,802
2026-08-13T08:06:51+07:00,52227,66.0,123204,1380040,11,835
2026-08-13T08:06:53+07:00,52227,69.5,123548,1380172,11,872
2026-08-13T08:06:56+07:00,52227,75.5,124508,1381196,11,904
2026-08-13T08:06:58+07:00,52227,79.5,124936,1381332,11,939
2026-08-13T08:07:00+07:00,52227,78.0,125128,1381476,11,973
2026-08-13T08:07:02+07:00,52227,81.5,125172,1382500,11,1005
2026-08-13T08:07:04+07:00,52227,85.0,125476,1382636,11,1023
2026-08-13T08:07:06+07:00,52227,79.0,125660,1382636,11,1023
2026-08-13T08:07:08+07:00,52227,80.5,125996,1382892,11,1023
2026-08-13T08:07:10+07:00,52227,86.5,125996,1382892,11,1023
2026-08-13T08:07:12+07:00,52227,82.0,126136,1383040,11,1023
2026-08-13T08:07:14+07:00,52227,82.5,126748,1383040,11,1023
